"";"VTI";"TLT";"BIL";"GLD";"SPY";"Date";"Date_aux";"carteraevol_sinreb_Activo1";"carteraevol_sinreb_Activo2";"carteraevol_sinreb_Activo3";"carteraevol_sinreb_Activo4";"carteraevol_sinreb_Activo5";"carteraevol_sinreb";"pond_sinreb_Activo1";"pond_sinreb_Activo2";"pond_sinreb_Activo3";"pond_sinreb_Activo4";"pond_sinreb_Activo5";"month";"Cantreb_Activo1";"Cantreb_Activo2";"Cantreb_Activo3";"Cantreb_Activo4";"Cantreb_Activo5";"carteraevol_conreb_Activo1";"carteraevol_conreb_Activo2";"carteraevol_conreb_Activo3";"carteraevol_conreb_Activo4";"carteraevol_conreb_Activo5";"carteraevol_conreb"
"2008-06-30";49,058628;62,44315;86,596268;91,400002;97,124481;2008-06-30;"2008-06";21,8633874245516;28,4020707612903;25,7843475024211;35,5531376483493;0;111,602943336612;0,195903322716213;0,254492129975686;0,231036446992723;0,318568100315378;0;6;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;24,5595558353046;27,8588812336889;27,8428645233128;30,5382575902745;0;110,799559182581
"2008-07-31";48,752434;62,213715;86,75872;90,080002;96,25174;2008-07-31;"2008-07";21,7269295103785;28,2977129717631;25,8327181645432;35,0396787788865;0;110,897039425571;0,195919833594481;0,255171040799111;0,232943262492421;0,315965863113987;0;7;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;24,4062700842347;27,7565192866082;27,8950969015896;30,0972236828665;0;110,155109955299
"2008-08-29";49,46431;63,917969;86,826836;81,709999;97,739143;2008-08-29;"2008-08";22,0441829970892;29,0728875538143;25,8529999463686;31,7838815987497;0;108,753952096022;0,202697764745374;0,267327182079278;0,237720096126183;0,292254957049164;0;8;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;24,7626469150302;28,516868656844;27,9169978980606;27,3006667676339;0;108,497180237569
"2008-09-30";44,893276;64,861305;87,268158;85,07;88,534729;2008-09-30;"2008-09";20,0070635066542;29,5019609721744;25,9844051451292;33,0908682009118;0;108,58429782487;0,184253744854736;0,2716963830236;0,239301682339358;0,304748189782306;0;9;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;22,4743121342843;28,9377360472217;28,0588939513312;28,4232988660619;0;107,894240998899
"2008-10-31";37,046959;63,65451;87,065247;71,339996;73,909966;2008-10-31;"2008-10";16,5102867841815;28,9530540546923;25,9239876715256;27,7501164345783;0;99,1374449449777;0,166539361523236;0,292049629388386;0,261495418667625;0,279915590420753;0;10;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;18,5463168290956;28,3993269730733;27,9936529933341;23,8358766593589;0;98,7751734548618
"2008-11-28";34,077667;72,783417;87,021553;80,309998;68,765343;2008-11-28;"2008-11";15,186996997671;33,1053087469562;25,9109776272616;31,2393036209415;0;105,44258699283;0,14403095969851;0,313965255321431;0,245735412666075;0,296268372313984;0;11;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;17,0598404305847;32,4721698054158;27,9796042802593;26,8329031983876;0;104,344517714647
"2008-12-31";34,67952;82,720047;87,047997;86,519997;69,439003;2008-12-31;"2008-12";15,4552178152533;37,624953710235;25,9188514225314;33,654893822385;0;112,653916770405;0,137192014785886;0,33398708885477;0,230075013506681;0,298745882852663;0;12;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;27,790597031295;27,790597031295;27,790597031295;27,790597031295;0;111,16238812518
"2009-01-30";31,889013;71,907867;87,219116;91,309998;63,737053;2009-01-30;"2009-01";14,2116050576376;32,7070675779081;25,9698027148003;35,5181275331318;0;108,406602883478;0,131095382381027;0,301707338002868;0,23955923370013;0,327638045915976;0;1;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;25,5544110762989;24,158140954356;27,845227802103;29,3291660579502;0;106,886945890708
"2009-02-27";28,532698;70,806274;87,215294;92,629997;56,888569;2009-02-27;"2009-02";12,7158352378246;32,2060114598849;25,9686647006753;36,0315860136107;0;106,922097411995;0,118926167233959;0,301210060777125;0,242874628624353;0,336989143364563;0;2;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;22,8648122100201;23,7880501690414;27,8440076055963;29,7531554426321;0;104,25002542729
"2009-03-31";30,892967;73,672035;87,20961;90,279999;61,627991;2009-03-31;"2009-03";13,7677088363516;33,5094938547824;25,9669722694125;35,117474410338;0;108,361649370885;0,127053334055755;0,309237576664148;0,239632493785108;0,324076595494989;0;3;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;24,7562249130927;24,7508301967051;27,8421929543812;28,9983259268342;0;106,347573991013
"2009-04-30";34,288242;68,550369;87,262833;87,269997;67,750511;2009-04-30;"2009-04";15,2808415056528;31,1799201521794;25,9828196073962;33,9466318163979;0;106,390213081626;0,143630142877229;0,293071319711119;0,244221896495886;0,319076640915766;0;4;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;27,4770445592536;23,0301571422654;27,8591847175093;28,0315002732758;0;106,397886692304
"2009-05-29";36,161491;66,017471;87,272354;96,199997;71,710747;2009-05-29;"2009-05";16,1156705724105;30,0278394479367;25,9856545190874;37,4202588651124;0;109,549423404547;0,147108675441386;0,274103126376568;0,237204849751942;0,341583348430104;0;5;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;28,9781814867046;22,1792056475283;27,8622243540713;30,8998548744609;0;109,919466362765
"2009-06-30";36,294319;66,513298;87,260925;91,18;71,663788;2009-06-30;"2009-06";16,1748664803114;30,2533648024289;25,9822514935944;35,4675603921376;0;107,878043168472;0,149936595114644;0,280440429895289;0,240848375911103;0,328774599078963;0;6;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;29,084623831422;22,345783506874;27,858575577024;29,2874101384155;0;108,576393053735
"2009-07-31";39,102478;66,896431;87,205811;93,349998;77,010315;2009-07-31;"2009-07";17,4263459991993;30,4276316447805;25,9658411036195;36,3116548768471;0;110,131473624446;0,158232205796355;0,276284613684006;0,235771303598137;0,329711876921502;0;7;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;31,3349552999315;22,4745007307942;27,840980100763;29,984422876138;0;111,634859007627
"2009-08-31";40,553616;68,38884;87,266663;93,400002;79,855049;2009-08-31;"2009-08";18,0730577723147;31,1064491935874;25,9839600035497;36,331105632384;0;111,494572601836;0,162098094557987;0,278995187547589;0,233051344089568;0,325855373804857;0;8;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;32,4978315852664;22,9758899179265;27,8604074680641;30,0004843770874;0;113,334613348344
"2009-09-30";42,229912;70,069916;87,289474;98,849998;82,68647;2009-09-30;"2009-09";18,8201130891944;31,8710813350971;25,9907520601182;38,4510668329423;0;115,133013317352;0,163464088595673;0,276819657687998;0,225745434009248;0,333970819707081;0;9;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;33,8411392965949;23,5406636020491;27,8676900171259;31,7510466506641;0;117,000539566434
"2009-10-30";41,118809;68,236824;87,293297;102,529999;81,096825;2009-10-30;"2009-10";18,324940754624;31,0373051931831;25,9918903719967;39,8825283125499;0;115,236664632354;0,159020055058754;0,269335330835921;0,225552261989881;0,346092352115444;0;10;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;32,9507516633963;22,9248186776224;27,8689105328886;32,9330788791877;0;116,677559753095
"2009-11-30";43,459217;69,064461;87,257156;115,639999;86,092934;2009-11-30;"2009-11";19,3679631325739;31,4137532845856;25,9811292604084;44,9821084478968;0;121,744954125465;0,159086372586861;0,258029201376281;0,213406210113919;0,369478215922939;0;11;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;34,8262486603796;23,202871304396;27,8573723010863;37,1440675490125;0;123,030559814874
"2009-12-31";44,70351;64,681915;87,283798;107,309998;87,737389;2009-12-31;"2009-12";19,9224927033695;29,4203659938002;25,9890620108839;41,7418714054086;0;117,073792113462;0,17017038863883;0,251297625734096;0,221988726440984;0,356543259186091;0;12;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;29,9720486515848;29,9720486515848;29,9720486515848;29,9720486515848;0;119,888194606339
"2010-01-29";43,109493;66,42321;87,283798;105,959999;84,548798;2010-01-29;"2010-01";19,212105710233;30,2123885584255;25,9890620108839;41,2167434051693;0;116,630299684712;0,164726539862877;0,259044078940884;0,222832849449419;0,35339653174682;0;1;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;28,9033192592965;30,7789230067544;29,9720486515848;29,5949893238268;0;119,249280241462
"2010-02-26";44,592472;66,195816;87,264755;109,43;87,186302;2010-02-26;"2010-02";19,8730076910114;30,1089591113413;25,9833918897479;42,5665182464533;0;118,531876938554;0,167659605198975;0,254015711967082;0,21921016152657;0,359114521307374;0;2;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;29,8976017829122;30,6735540789625;29,9655095488469;30,5641724449843;0;121,100837855706
"2010-03-31";47,444504;64,833885;87,264755;108,949997;92,494148;2010-03-31;"2010-03";21,1440395788828;29,4894890712489;25,9833918897479;42,379804763333;0;118,996725303213;0,177685894506813;0,247817652091748;0,218353839767777;0,356142613633662;0;3;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;31,8097836643769;30,0424679060794;29,9655095488469;30,4301059690078;0;122,247867088311
"2010-04-30";48,479546;66,98761;87,2267;115,360001;93,925034;2010-04-30;"2010-04";21,6053146933577;30,4691041267091;25,9720608778363;44,8731937080999;0;122,919673406003;0,17576775218069;0,247878173464306;0,211292953830513;0,36506112052449;0;4;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;32,5037410109126;31,0404524351728;29,9524419883423;32,2204419612315;0;125,717077395659
"2010-05-28";44,657867;70,409531;87,264755;118,879997;86,46228;2010-05-28;"2010-05";19,9021515190987;32,0255541517566;25,9833918897479;46,2424158040648;0;124,153513364668;0,16030276534053;0,257951251509815;0,209284386607961;0,372461596541694;0;5;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;29,9414467096656;32,6260885854611;29,9655095488469;33,2035888565039;0;125,736633700478
"2010-06-30";42,049637;74,491714;87,283798;121,68;81,988647;2010-06-30;"2010-06";18,7397720293515;33,882322274866;25,9890620108839;47,3315721486653;0;125,942728463767;0,148795982570307;0,269029603282049;0,206356193230806;0,375818220916838;0;6;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;28,1927250443081;34,5176743166608;29,9720486515848;33,9856392498007;0;126,668087262355
"2010-07-30";45,00174;73,786842;87,24572;115,489998;87,588493;2010-07-30;"2010-07";20,0554013944079;33,56171345834;25,9777241506404;44,9237604601102;0;124,518599463499;0,161063499596195;0,269531729419896;0,208625251669776;0,360779519314134;0;7;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;30,1720008269142;34,1910535312815;29,9589731931984;32,2567505669642;0;126,578778118358
"2010-08-31";42,881672;79,978142;87,24572;122,080002;83,648735;2010-08-31;"2010-08";19,1105753782708;36,3778068281392;25,9777241506404;47,4871665234402;0;128,953272880491;0,148197676192227;0,28210068667162;0,201450677213254;0,368250959922899;0;8;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;28,7505737121157;37,0599535138587;29,9589731931984;34,0973611734628;0;129,866861592636
"2010-09-30";46,939827;77,962471;87,24572;127,910004;91,139877;2010-09-30;"2010-09";20,9191260575495;35,4609852012117;25,9777241506404;49,754943974869;0;132,112779384271;0,158342941198012;0,268414496814634;0,196632939460611;0,376609622526743;0;9;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;31,4714164176588;36,1259398984982;29,9589731931984;35,7257006277496;0;133,282030137105
